city,date,percentage
Amsterdam,2020-12-10,19
Amsterdam,2020-12-11,19
Amsterdam,2020-12-12,25
Amsterdam,2020-12-13,22
Amsterdam,2020-12-14,22
Amsterdam,2020-12-15,18
Amsterdam,2020-12-16,16
Amsterdam,2020-12-17,16
Amsterdam,2020-12-18,14
Amsterdam,2020-12-19,11
Amsterdam,2020-12-20,11
Amsterdam,2020-12-21,14
Amsterdam,2020-12-22,15
Amsterdam,2020-12-23,13
Amsterdam,2020-12-24,11
Amsterdam,2020-12-25,7
Amsterdam,2020-12-26,7
Amsterdam,2020-12-27,9
Amsterdam,2020-12-28,15
Amsterdam,2020-12-29,14
Amsterdam,2020-12-30,15
Amsterdam,2020-12-31,13
Amsterdam,2021-01-01,8
Amsterdam,2021-01-02,10
Amsterdam,2021-01-03,11
Amsterdam,2021-01-04,14
Amsterdam,2021-01-05,13
Amsterdam,2021-01-06,13
Amsterdam,2021-01-07,12
Amsterdam,2021-01-08,12
Amsterdam,2021-01-09,13
Amsterdam,2021-01-10,12
Amsterdam,2021-01-11,13
Amsterdam,2021-01-12,15
Amsterdam,2021-01-13,15
Barcelona,2020-03-02,112
Barcelona,2020-03-03,105
Barcelona,2020-03-04,105
Barcelona,2020-03-05,106
Barcelona,2020-03-06,105
Barcelona,2020-03-07,110
Barcelona,2020-03-08,107
Barcelona,2020-03-09,104
Barcelona,2020-03-10,92
Barcelona,2020-03-11,86
Barcelona,2020-03-12,69
Barcelona,2020-03-13,47
Barcelona,2020-03-14,24
Barcelona,2020-03-15,16
Barcelona,2020-03-16,12
Barcelona,2020-03-17,8
Barcelona,2020-03-18,6
Barcelona,2020-03-19,5
Barcelona,2020-03-20,5
Barcelona,2020-03-21,4
Barcelona,2020-03-22,3
Barcelona,2020-03-23,5
Barcelona,2020-03-24,4
Barcelona,2020-03-25,4
Barcelona,2020-03-26,3
Barcelona,2020-03-27,3
Barcelona,2020-03-28,3
Barcelona,2020-03-29,3
Barcelona,2020-03-30,4
Barcelona,2020-03-31,3
Barcelona,2020-04-01,3
Barcelona,2020-04-02,3
Barcelona,2020-04-03,2
Barcelona,2020-04-04,2
Barcelona,2020-04-05,2
Barcelona,2020-04-06,3
Barcelona,2020-04-07,3
Barcelona,2020-04-08,3
Barcelona,2020-04-09,3
Barcelona,2020-04-10,2
Barcelona,2020-04-11,3
Barcelona,2020-04-12,2
Barcelona,2020-04-13,3
Barcelona,2020-04-14,4
Barcelona,2020-04-15,4
Barcelona,2020-04-16,3
Barcelona,2020-04-17,4
Barcelona,2020-04-18,3
Barcelona,2020-04-19,2
Barcelona,2020-04-20,4
Barcelona,2020-04-21,4
Barcelona,2020-04-22,4
Barcelona,2020-04-23,4
Barcelona,2020-04-24,4
Barcelona,2020-04-25,3
Barcelona,2020-04-26,3
Barcelona,2020-04-27,5
Barcelona,2020-04-28,5
Barcelona,2020-04-29,5
Barcelona,2020-04-30,5
Barcelona,2020-05-01,4
Barcelona,2020-05-02,7
Barcelona,2020-05-03,7
Barcelona,2020-05-04,9
Barcelona,2020-05-05,9
Barcelona,2020-05-06,9
Barcelona,2020-05-07,8
Barcelona,2020-05-08,9
Barcelona,2020-05-09,7
Barcelona,2020-05-10,6
Barcelona,2020-05-11,11
Barcelona,2020-05-12,10
Barcelona,2020-05-13,11
Barcelona,2020-05-14,9
Barcelona,2020-05-15,9
Barcelona,2020-05-16,7
Barcelona,2020-05-17,8
Barcelona,2020-05-18,12
Barcelona,2020-05-19,12
Barcelona,2020-05-20,12
Barcelona,2020-05-21,12
Barcelona,2020-05-22,11
Barcelona,2020-05-23,11
Barcelona,2020-05-24,10
Barcelona,2020-05-25,20
Barcelona,2020-05-26,18
Barcelona,2020-05-27,18
Barcelona,2020-05-28,17
Barcelona,2020-05-29,17
Barcelona,2020-05-30,21
Barcelona,2020-05-31,19
Barcelona,2020-06-01,21
Barcelona,2020-06-02,23
Barcelona,2020-06-03,21
Barcelona,2020-06-04,20
Barcelona,2020-06-05,23
Barcelona,2020-06-06,26
Barcelona,2020-06-07,16
Barcelona,2020-06-08,24
Barcelona,2020-06-09,22
Barcelona,2020-06-10,25
Barcelona,2020-06-11,25
Barcelona,2020-06-12,28
Barcelona,2020-06-13,34
Barcelona,2020-06-14,30
Barcelona,2020-06-15,28
Barcelona,2020-06-16,28
Barcelona,2020-06-17,30
Barcelona,2020-06-18,28
Barcelona,2020-06-19,32
Barcelona,2020-06-20,35
Barcelona,2020-06-21,35
Barcelona,2020-06-22,37
Barcelona,2020-06-23,39
Barcelona,2020-06-24,32
Barcelona,2020-06-25,36
Barcelona,2020-06-26,37
Barcelona,2020-06-27,37
Barcelona,2020-06-28,35
Barcelona,2020-06-29,42
Barcelona,2020-06-30,41
Barcelona,2020-07-01,45
Barcelona,2020-07-02,42
Barcelona,2020-07-03,42
Barcelona,2020-07-04,42
Barcelona,2020-07-05,44
Barcelona,2020-07-06,50
Barcelona,2020-07-07,49
Barcelona,2020-07-08,50
Barcelona,2020-07-09,45
Barcelona,2020-07-10,46
Barcelona,2020-07-11,47
Barcelona,2020-07-12,46
Barcelona,2020-07-13,52
Barcelona,2020-07-14,52
Barcelona,2020-07-15,51
Barcelona,2020-07-16,47
Barcelona,2020-07-17,42
Barcelona,2020-07-18,39
Barcelona,2020-07-19,39
Barcelona,2020-07-20,43
Barcelona,2020-07-21,41
Barcelona,2020-07-22,41
Barcelona,2020-07-23,39
Barcelona,2020-07-24,38
Barcelona,2020-07-25,39
